# polynomial fit to KMOS H resolutions
# measured from the arc frame 2013-11-10T13:35:20.8843
# input wavelength (x) has to be in microns such that:
# resolution = p0 + p1*x + p2*x^2 + p3*x^3 + p4*x^4   
# ----------------------------------------------------
# IFU  p0  p1  p2  p3  p4  p5
 1         236226.85      -573644.26       511122.63      -196353.60       27607.184       0.0000000
 2         0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
 3        -5121465.4       12501142.      -11439308.       4652879.7      -709553.18       0.0000000
 4        -5588380.2       13683332.      -12560953.       5125059.5      -783922.99       0.0000000
 5        -2990453.3       7313848.6      -6716620.0       2746056.8      -421370.27       0.0000000
 6        -2763382.2       6730584.9      -6152959.8       2503750.9      -382347.33       0.0000000
 7        -164312.15       399495.49      -381560.50       169915.00      -29090.711       0.0000000
 8         943325.59      -2286855.1       2063575.7      -820416.63       121527.57       0.0000000
 9        -1509544.4       3708929.0      -3419873.9       1403532.7      -215913.70       0.0000000
10        -1650674.2       4071562.7      -3768136.2       1552207.2      -239769.86       0.0000000
11        -2393337.8       5913708.8      -5481297.0       2260314.0      -349540.30       0.0000000
12        -4203331.3       10351532.      -9554848.4       3919630.4      -602662.85       0.0000000
13         0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
14        -2473796.8       6058606.8      -5565460.8       2275392.3      -349206.88       0.0000000
15        -405875.70       998883.42      -927471.92       387685.85      -61381.925       0.0000000
16        -648816.13       1581093.0      -1442902.3       586927.54      -89679.987       0.0000000
17        -3406094.7       8442673.2      -7840945.3       3235800.7      -500382.01       0.0000000
18        -1718540.3       4284484.6      -3998656.0       1657969.7      -257438.13       0.0000000
19        -2155334.3       5330772.9      -4937817.9       2032694.5      -313560.23       0.0000000
20        -1683925.8       4179963.2      -3886457.1       1606728.5      -248989.66       0.0000000
21        -1968687.4       4847233.2      -4470107.0       1832553.4      -281600.99       0.0000000
22        -1936953.7       4722992.5      -4313638.2       1751858.0      -266794.77       0.0000000
23        -1741716.5       4232775.9      -3853601.4       1560800.0      -237196.22       0.0000000
24        -795935.76       1831887.9      -1576663.7       604700.97      -87218.050       0.0000000
