# polynomial fit to KMOS IZ resolutions
# measured from the arc frame 2014-05-09T12:51:56.8175
# input wavelength (x) has to be in microns such that:
# resolution = p0 + p1*x + p2*x^2 + p3*x^3 + p4*x^4   
# ----------------------------------------------------
# IFU  p0  p1  p2  p3  p4  p5
 1         1470860.1      -6448229.1       10596097.      -7721285.0       2105671.6       0.0000000
 2         686312.21      -3045965.6       5068655.8      -3733984.8       1028265.5       0.0000000
 3         10186.315      -63741.258       146171.16      -130145.22       40903.769       0.0000000
 4         0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
 5        -250230.56       1027245.3      -1570114.2       1070160.6      -273437.09       0.0000000
 6         621344.92      -2702987.6       4408921.7      -3183622.0       859945.85       0.0000000
 7         2126002.2      -9223256.2       14985634.      -10794275.       2909392.6       0.0000000
 8         975865.60      -4251882.9       6953519.4      -5045725.5       1371656.2       0.0000000
 9         823883.96      -3636283.2       6020403.4      -4420337.3       1215797.3       0.0000000
10         804445.22      -3535550.4       5818426.4      -4238490.6       1154677.1       0.0000000
11        -33557.865       155465.78      -265070.87       207696.44      -60928.761       0.0000000
12        -1895030.8       8198400.2      -13266333.       9526736.2      -2560237.6       0.0000000
13        -1184847.9       5161854.4      -8414428.4       6093709.9      -1652931.7       0.0000000
14        -721627.33       3103456.5      -4992597.5       3573751.3      -959786.37       0.0000000
15         641500.15      -2851165.7       4748013.7      -3496373.6       961070.41       0.0000000
16        -22525.354       22618.393       106346.22      -179712.47       76225.013       0.0000000
17         131384.36      -580356.91       999538.38      -778985.25       231576.79       0.0000000
18         1011679.0      -4326634.1       6953898.9      -4968804.1       1333020.0       0.0000000
19        -614021.62       2589939.8      -4052380.1       2794555.0      -714864.89       0.0000000
20        -613330.87       2616087.6      -4144218.0       2897373.8      -752793.90       0.0000000
21        -339994.31       1413830.7      -2171650.6       1466742.3      -365888.30       0.0000000
22        -620862.45       2589260.1      -4009364.6       2739863.8      -695866.79       0.0000000
23        -618637.10       2562984.2      -3939048.7       2670474.1      -672873.01       0.0000000
24        -1726197.7       7231418.0      -11314876.       7850553.8      -2037980.8       0.0000000
