 *********************************************
 (reference: Madau 1995, ApJ)
 
 redshift= 0.0
 observed    IGM effective  IGM mean transmission  
 wavelength  optical depth  <exp(-tau)>
 *********************************************
   1215.6700  0.360000E-02  0.996406E+00
   1120.6950  0.271686E-02  0.997287E+00
   1025.7200  0.199986E-02  0.998002E+00
   1025.7200  0.369986E-02  0.996307E+00
    999.1285  0.337844E-02  0.996627E+00
    972.5370  0.307738E-02  0.996927E+00
    972.5370  0.426198E-02  0.995747E+00
    961.1400  0.409164E-02  0.995917E+00
    949.7430  0.392621E-02  0.996081E+00
    949.7430  0.486721E-02  0.995145E+00
    943.7730  0.476216E-02  0.995249E+00
    937.8030  0.465874E-02  0.995352E+00
    937.8030  0.545474E-02  0.994560E+00
    934.2755  0.538408E-02  0.994630E+00
    930.7480  0.531407E-02  0.994700E+00
    930.7480  0.601077E-02  0.994007E+00
    928.4870  0.596040E-02  0.994057E+00
    926.2260  0.591033E-02  0.994107E+00
    926.2260  0.653393E-02  0.993487E+00
    924.6880  0.649647E-02  0.993525E+00
    923.1500  0.645916E-02  0.993562E+00
    923.1500  0.702566E-02  0.992999E+00
    922.0565  0.699690E-02  0.993028E+00
    920.9630  0.696824E-02  0.993056E+00
    920.9630  0.748824E-02  0.992540E+00
    920.1575  0.746560E-02  0.992562E+00
    919.3520  0.744301E-02  0.992585E+00
    919.3520  0.792471E-02  0.992107E+00
    918.7405  0.790649E-02  0.992125E+00
    918.1290  0.788830E-02  0.992143E+00
    918.1290  0.833700E-02  0.991698E+00
    917.6550  0.832211E-02  0.991712E+00
    917.1810  0.830725E-02  0.991727E+00
    917.1810  0.872725E-02  0.991311E+00
    916.8050  0.871488E-02  0.991323E+00
    916.4290  0.870252E-02  0.991335E+00
    916.4290  0.909722E-02  0.990944E+00
    916.1265  0.908683E-02  0.990954E+00
    915.8240  0.907645E-02  0.990965E+00
    915.8240  0.944845E-02  0.990596E+00
    915.5765  0.943962E-02  0.990605E+00
    915.3290  0.943079E-02  0.990614E+00
    915.3290  0.978279E-02  0.990265E+00
    915.1240  0.977522E-02  0.990272E+00
    914.9190  0.976764E-02  0.990280E+00
    914.9190  0.101010E-01  0.989950E+00
    914.5760  0.100879E-01  0.989963E+00
    914.5760  0.104044E-01  0.989650E+00
    913.1630  0.103489E-01  0.989704E+00
    911.7500  0.102936E-01  0.989759E+00
    911.7500  0.102936E-01  0.989759E+00
    884.6917  0.927462E-02  0.990768E+00
    857.6333  0.832951E-02  0.991705E+00
    830.5750  0.745498E-02  0.992573E+00
    803.5167  0.664780E-02  0.993374E+00
    776.4583  0.590479E-02  0.994113E+00
    749.4000  0.522282E-02  0.994791E+00
    722.3417  0.459881E-02  0.995412E+00
    695.2833  0.402973E-02  0.995978E+00
    668.2250  0.351260E-02  0.996494E+00
    641.1667  0.304450E-02  0.996960E+00
    614.1083  0.262255E-02  0.997381E+00
    587.0500  0.224394E-02  0.997759E+00
    559.9917  0.190592E-02  0.998096E+00
    532.9333  0.160577E-02  0.998396E+00
    505.8750  0.134087E-02  0.998660E+00
    478.8167  0.110862E-02  0.998892E+00
    451.7583  0.906507E-03  0.999094E+00
    424.7000  0.732083E-03  0.999268E+00
    397.6417  0.582959E-03  0.999417E+00
    370.5833  0.456816E-03  0.999543E+00
    343.5250  0.351408E-03  0.999649E+00
    316.4667  0.264564E-03  0.999735E+00
    289.4083  0.194189E-03  0.999806E+00
    262.3500  0.138269E-03  0.999862E+00
    235.2917  0.948756E-04  0.999905E+00
    208.2333  0.621698E-04  0.999938E+00
    181.1750  0.384075E-04  0.999962E+00
    154.1167  0.219460E-04  0.999978E+00
    127.0583  0.112524E-04  0.999989E+00
    100.0000  0.491356E-05  0.999995E+00
 *********************************************
 redshift= 0.2
 *********************************************
   1458.8040  0.676503E-02  0.993258E+00   
   1344.8340  0.510545E-02  0.994908E+00  
   1230.8640  0.375809E-02  0.996249E+00  
   1230.8640  0.695269E-02  0.993071E+00  
   1198.9542  0.634867E-02  0.993671E+00  
   1167.0444  0.578293E-02  0.994234E+00  
   1167.0444  0.800900E-02  0.992023E+00  
   1153.3680  0.768891E-02  0.992341E+00  
   1139.6916  0.737803E-02  0.992649E+00  
   1139.6916  0.914633E-02  0.990895E+00  
   1132.5276  0.894894E-02  0.991091E+00  
   1125.3636  0.875459E-02  0.991284E+00  
   1125.3636  0.102504E-01  0.989802E+00  
   1121.1306  0.101176E-01  0.989933E+00  
   1116.8976  0.998607E-02  0.990064E+00  
   1116.8976  0.112953E-01  0.988768E+00  
   1114.1844  0.112006E-01  0.988862E+00  
   1111.4712  0.111065E-01  0.988955E+00  
   1111.4712  0.122784E-01  0.987797E+00  
   1109.6256  0.122080E-01  0.987866E+00  
   1107.7800  0.121379E-01  0.987935E+00  
   1107.7800  0.132024E-01  0.986884E+00  
   1106.4678  0.131484E-01  0.986938E+00  
   1105.1556  0.130945E-01  0.986991E+00  
   1105.1556  0.140717E-01  0.986027E+00  
   1104.1890  0.140292E-01  0.986069E+00  
   1103.2224  0.139867E-01  0.986111E+00  
   1103.2224  0.148919E-01  0.985218E+00  
   1102.4886  0.148577E-01  0.985252E+00  
   1101.7548  0.148235E-01  0.985286E+00  
   1101.7548  0.156667E-01  0.984455E+00  
   1101.1860  0.156387E-01  0.984483E+00  
   1100.6172  0.156108E-01  0.984510E+00  
   1100.6172  0.164000E-01  0.983734E+00  
   1100.1660  0.163768E-01  0.983757E+00  
   1099.7148  0.163535E-01  0.983779E+00  
   1099.7148  0.170953E-01  0.983050E+00  
   1099.3518  0.170757E-01  0.983069E+00  
   1098.9888  0.170562E-01  0.983088E+00  
   1098.9888  0.177553E-01  0.982401E+00  
   1098.6918  0.177387E-01  0.982418E+00  
   1098.3948  0.177221E-01  0.982434E+00  
   1098.3948  0.183836E-01  0.981784E+00  
   1098.1488  0.183693E-01  0.981798E+00  
   1097.9028  0.183551E-01  0.981812E+00  
