#Wave (AA)   Transm Relative
      3550.00  9.84064e-06
      3560.00    0.0285379
      3570.00    0.0373944
      3580.00    0.0442829
      3590.00    0.0501873
      3600.00    0.0560916
      3610.00    0.0797092
      3620.00    0.0964383
      3630.00     0.110215
      3640.00     0.122024
      3650.00     0.133833
      3660.00     0.157450
      3670.00     0.177132
      3680.00     0.194845
      3690.00     0.210590
      3700.00     0.226335
      3710.00     0.247000
      3720.00     0.265697
      3730.00     0.283410
      3740.00     0.301124
      3750.00     0.316869
      3760.00     0.334582
      3770.00     0.351311
      3780.00     0.368040
      3790.00     0.383785
      3800.00     0.399530
      3810.00     0.416259
      3820.00     0.431020
      3830.00     0.446765
      3840.00     0.461526
      3850.00     0.477271
      3860.00     0.487112
      3870.00     0.496952
      3880.00     0.506793
      3890.00     0.517618
      3900.00     0.527458
      3910.00     0.534347
      3920.00     0.541235
      3930.00     0.548124
      3940.00     0.555012
      3950.00     0.562885
      3960.00     0.569773
      3970.00     0.575677
      3980.00     0.582566
      3990.00     0.589454
      4000.00     0.596343
      4010.00     0.601263
      4020.00     0.605199
      4030.00     0.610120
      4040.00     0.615040
      4050.00     0.618976
      4060.00     0.621928
      4070.00     0.623897
      4080.00     0.625865
      4090.00     0.628817
      4100.00     0.630785
      4110.00     0.631769
      4120.00     0.632753
      4130.00     0.632753
      4140.00     0.633737
      4150.00     0.634721
      4160.00     0.635705
      4170.00     0.637673
      4180.00     0.638658
      4190.00     0.639642
      4200.00     0.640626
      4210.00     0.639642
      4220.00     0.637673
      4230.00     0.635705
      4240.00     0.633737
      4250.00     0.631769
      4260.00     0.629801
      4270.00     0.627833
      4280.00     0.625865
      4290.00     0.623897
      4300.00     0.621928
      4310.00     0.617992
      4320.00     0.615040
      4330.00     0.611104
      4340.00     0.608151
      4350.00     0.604215
      4360.00     0.600279
      4370.00     0.597327
      4380.00     0.593391
      4390.00     0.589454
      4400.00     0.586502
      4410.00     0.581582
      4420.00     0.576662
      4430.00     0.571741
      4440.00     0.566821
      4450.00     0.561900
      4460.00     0.554028
      4470.00     0.547140
      4480.00     0.539267
      4490.00     0.532379
      4500.00     0.524506
      4510.00     0.517618
      4520.00     0.509745
      4530.00     0.502857
      4540.00     0.494984
      4550.00     0.488096
      4560.00     0.479239
      4570.00     0.470383
      4580.00     0.461526
      4590.00     0.452669
      4600.00     0.443813
      4610.00     0.432004
      4620.00     0.420195
      4630.00     0.408387
      4640.00     0.396578
      4650.00     0.385753
      4660.00     0.370992
      4670.00     0.356231
      4680.00     0.342454
      4690.00     0.328677
      4700.00     0.314900
      4710.00     0.298171
      4720.00     0.282426
      4730.00     0.265697
      4740.00     0.250936
      4750.00     0.235191
      4760.00     0.220430
      4770.00     0.206653
      4780.00     0.192877
      4790.00     0.179100
      4800.00     0.166307
      4810.00     0.153514
      4820.00     0.141705
      4830.00     0.129896
      4840.00     0.119072
      4850.00     0.108247
      4860.00    0.0993905
      4870.00    0.0905339
      4880.00    0.0816773
      4890.00    0.0738048
      4900.00    0.0669164
      4910.00    0.0610120
      4920.00    0.0560916
      4930.00    0.0511713
      4940.00    0.0462510
      4950.00    0.0413307
      4960.00    0.0383785
      4970.00    0.0344422
      4980.00    0.0314901
      4990.00    0.0285379
      5000.00    0.0265697
      5010.00    0.0236175
      5020.00    0.0216494
      5030.00    0.0186972
      5040.00    0.0167291
      5050.00    0.0147610
      5060.00    0.0127928
      5070.00    0.0118088
      5080.00   0.00984064
      5090.00   0.00885658
      5100.00   0.00688845
      5110.00   0.00688845
      5120.00   0.00590438
      5130.00   0.00492032
      5140.00   0.00393626
      5150.00   0.00295219
      5160.00   0.00295219
      5170.00   0.00295219
      5180.00   0.00196813
      5190.00   0.00196813
      5200.00   0.00196813
      5210.00  0.000984064
      5220.00  0.000984064
      5230.00  0.000885658
      5240.00  0.000787251
      5250.00  0.000590438
      5260.00  0.000492032
      5270.00  0.000393626
      5280.00  0.000393626
      5290.00  0.000295219
      5300.00  0.000196813
      5310.00  0.000196813
      5320.00  0.000196813
      5330.00  0.000196813
      5340.00  9.84064e-05
      5350.00  9.84064e-05
      5360.00  9.84064e-05
      5370.00  9.84064e-05
      5380.00  9.84064e-05
      5390.00  8.85658e-05
      5400.00  8.85658e-05
      5410.00  8.85658e-05
      5420.00  8.85658e-05
      5430.00  8.85658e-05
      5440.00  8.85658e-05
      5450.00  8.85658e-05
      5460.00  9.84064e-05
      5470.00  9.84064e-05
      5480.00  9.84064e-05
      5490.00  0.000196813
      5500.00  0.000196813
      5510.00  0.000196813
      5520.00  0.000196813
      5530.00  0.000196813
      5540.00  0.000295219
      5550.00  0.000295219
      5560.00  0.000295219
      5570.00  0.000295219
      5580.00  0.000393626
      5590.00  0.000393626
      5600.00  0.000393626
      5610.00  0.000393626
      5620.00  0.000393626
      5630.00  0.000393626
      5640.00  0.000393626
      5650.00  0.000295219
      5660.00  0.000295219
      5670.00  0.000295219
      5680.00  0.000196813
      5690.00  0.000196813
      5700.00  0.000196813
      5710.00  0.000196813
      5720.00  9.84064e-05
      5730.00  9.84064e-05
      5740.00  7.87251e-05
      5750.00  5.90438e-05
      5760.00  4.92032e-05
      5770.00  3.93626e-05
      5780.00  2.95219e-05
      5790.00  1.96813e-05
      5800.00  9.84064e-06
