Wave (AA)      Relative Transm
      6715.00  5.24971e-06
      6720.00  1.41677e-05
      6725.00  1.20588e-05
      6730.00  3.82633e-05
      6735.00  1.88827e-05
      6740.00  4.10895e-05
      6745.00  3.32408e-05
      6750.00  5.42793e-05
      6755.00  5.71404e-05
      6760.00  7.54491e-05
      6765.00  8.86258e-05
      6770.00  0.000100771
      6775.00  0.000121946
      6780.00  0.000156697
      6785.00  0.000168951
      6790.00  0.000203663
      6795.00  0.000228671
      6800.00  0.000277237
      6805.00  0.000350513
      6810.00  0.000414864
      6815.00  0.000506707
      6820.00  0.000590291
      6825.00  0.000707733
      6830.00  0.000828727
      6835.00   0.00100172
      6840.00   0.00120237
      6845.00   0.00143755
      6850.00   0.00167207
      6855.00   0.00198964
      6860.00   0.00233516
      6865.00   0.00275165
      6870.00   0.00322713
      6875.00   0.00378914
      6880.00   0.00444470
      6885.00   0.00517479
      6890.00   0.00603555
      6895.00   0.00703260
      6900.00   0.00815261
      6905.00   0.00943506
      6910.00    0.0108993
      6915.00    0.0125726
      6920.00    0.0144753
      6925.00    0.0165800
      6930.00    0.0190092
      6935.00    0.0217540
      6940.00    0.0247025
      6945.00    0.0280968
      6950.00    0.0317781
      6955.00    0.0358585
      6960.00    0.0404464
      6965.00    0.0453763
      6970.00    0.0508420
      6975.00    0.0568555
      6980.00    0.0633418
      6985.00    0.0703926
      6990.00    0.0777951
      6995.00    0.0858728
      7000.00    0.0944813
      7005.00     0.103406
      7010.00     0.113143
      7015.00     0.123601
      7020.00     0.134523
      7025.00     0.146083
      7030.00     0.158285
      7035.00     0.170882
      7040.00     0.184178
      7045.00     0.197544
      7050.00     0.211685
      7055.00     0.226636
      7060.00     0.241571
      7065.00     0.257154
      7070.00     0.272999
      7075.00     0.289202
      7080.00     0.305393
      7085.00     0.321639
      7090.00     0.338276
      7095.00     0.355351
      7100.00     0.371891
      7105.00     0.388778
      7110.00     0.405588
      7115.00     0.422421
      7120.00     0.439238
      7125.00     0.455763
      7130.00     0.472343
      7135.00     0.488963
      7140.00     0.504646
      7145.00     0.520552
      7150.00     0.536184
      7155.00     0.551155
      7160.00     0.566517
      7165.00     0.580956
      7170.00     0.595440
      7175.00     0.609224
      7180.00     0.622639
      7185.00     0.635738
      7190.00     0.648584
      7195.00     0.660882
      7200.00     0.673081
      7205.00     0.684609
      7210.00     0.695370
      7215.00     0.706204
      7220.00     0.716060
      7225.00     0.726008
      7230.00     0.735802
      7235.00     0.745051
      7240.00     0.754046
      7245.00     0.762483
      7250.00     0.770771
      7255.00     0.778807
      7260.00     0.786445
      7265.00     0.794005
      7270.00     0.801246
      7275.00     0.807792
      7280.00     0.814794
      7285.00     0.821207
      7290.00     0.827487
      7295.00     0.833417
      7300.00     0.839052
      7305.00     0.844666
      7310.00     0.849933
      7315.00     0.854778
      7320.00     0.860131
      7325.00     0.864546
      7330.00     0.869074
      7335.00     0.873712
      7340.00     0.877729
      7345.00     0.882314
      7350.00     0.885671
      7355.00     0.889450
      7360.00     0.893465
      7365.00     0.896569
      7370.00     0.900162
      7375.00     0.903606
      7380.00     0.906302
      7385.00     0.909195
      7390.00     0.911958
      7395.00     0.914780
      7400.00     0.917356
      7405.00     0.919517
      7410.00     0.921697
      7415.00     0.923824
      7420.00     0.925986
      7425.00     0.927510
      7430.00     0.929162
      7435.00     0.931172
      7440.00     0.932612
      7445.00     0.934205
      7450.00     0.935554
      7455.00     0.936559
      7460.00     0.937725
      7465.00     0.938778
      7470.00     0.940105
      7475.00     0.940965
      7480.00     0.941247
      7485.00     0.942604
      7490.00     0.942989
      7495.00     0.943799
      7500.00     0.944327
      7505.00     0.945296
      7510.00     0.945745
      7515.00     0.946215
      7520.00     0.946731
      7525.00     0.947302
      7530.00     0.947544
      7535.00     0.948324
      7540.00     0.948636
      7545.00     0.948865
      7550.00     0.949508
      7555.00     0.949761
      7560.00     0.950504
      7565.00     0.950359
      7570.00     0.950900
      7575.00     0.951248
      7580.00     0.951798
      7585.00     0.952662
      7590.00     0.952838
      7595.00     0.953064
      7600.00     0.953718
      7605.00     0.954235
      7610.00     0.954679
      7615.00     0.954981
      7620.00     0.955408
      7625.00     0.956293
      7630.00     0.956949
      7635.00     0.957552
      7640.00     0.958012
      7645.00     0.958334
      7650.00     0.958546
      7655.00     0.959054
      7660.00     0.959360
      7665.00     0.960255
      7670.00     0.960513
      7675.00     0.961349
      7680.00     0.961636
      7685.00     0.962049
      7690.00     0.962688
      7695.00     0.962711
      7700.00     0.963377
      7705.00     0.963420
      7710.00     0.963676
      7715.00     0.964021
      7720.00     0.964044
      7725.00     0.964547
      7730.00     0.964893
      7735.00     0.965002
      7740.00     0.965602
      7745.00     0.965482
      7750.00     0.965965
      7755.00     0.966425
      7760.00     0.966291
      7765.00     0.966640
      7770.00     0.966576
      7775.00     0.966867
      7780.00     0.966920
      7785.00     0.966667
      7790.00     0.967021
      7795.00     0.966938
      7800.00     0.966972
      7805.00     0.966857
      7810.00     0.967090
      7815.00     0.967237
      7820.00     0.967014
      7825.00     0.967407
      7830.00     0.967371
      7835.00     0.967261
      7840.00     0.967445
      7845.00     0.967177
      7850.00     0.967595
      7855.00     0.967042
      7860.00     0.967194
      7865.00     0.967338
      7870.00     0.967065
      7875.00     0.967367
      7880.00     0.967431
      7885.00     0.967431
      7890.00     0.967710
      7895.00     0.967290
      7900.00     0.967275
      7905.00     0.967570
      7910.00     0.967662
      7915.00     0.967471
      7920.00     0.967798
      7925.00     0.967678
      7930.00     0.967954
      7935.00     0.967548
      7940.00     0.967609
      7945.00     0.967329
      7950.00     0.967844
      7955.00     0.967995
      7960.00     0.968060
      7965.00     0.967733
      7970.00     0.967585
      7975.00     0.967828
      7980.00     0.967975
      7985.00     0.968051
      7990.00     0.967738
      7995.00     0.967643
      8000.00     0.967812
      8005.00     0.967839
      8010.00     0.967230
      8015.00     0.967521
      8020.00     0.967838
      8025.00     0.967545
      8030.00     0.967415
      8035.00     0.967693
      8040.00     0.967440
      8045.00     0.967277
      8050.00     0.967343
      8055.00     0.967161
      8060.00     0.967097
      8065.00     0.967383
      8070.00     0.966559
      8075.00     0.967041
      8080.00     0.966770
      8085.00     0.966982
      8090.00     0.967026
      8095.00     0.966912
      8100.00     0.966853
      8105.00     0.966675
      8110.00     0.966556
      8115.00     0.966749
      8120.00     0.966663
      8125.00     0.966196
      8130.00     0.966626
      8135.00     0.966302
      8140.00     0.966437
      8145.00     0.966216
      8150.00     0.966421
      8155.00     0.966393
      8160.00     0.966100
      8165.00     0.966323
      8170.00     0.966482
      8175.00     0.965858
      8180.00     0.966437
      8185.00     0.965974
      8190.00     0.966072
      8195.00     0.965753
      8200.00     0.966183
      8205.00     0.965885
      8210.00     0.966314
      8215.00     0.966624
      8220.00     0.966303
      8225.00     0.966617
      8230.00     0.966294
      8235.00     0.965950
      8240.00     0.966141
      8245.00     0.966360
      8250.00     0.966683
      8255.00     0.966939
      8260.00     0.966357
      8265.00     0.966794
      8270.00     0.966791
      8275.00     0.967105
