#Lambda (AA)  Relative Transmission
      5485.00  1.26386e-05
      5490.00  2.36146e-05
      5495.00  2.12639e-05
      5500.00  2.28261e-05
      5505.00  4.31784e-05
      5510.00  6.89918e-05
      5515.00  9.47823e-05
      5520.00  0.000129152
      5525.00  0.000197039
      5530.00  0.000310191
      5535.00  0.000454644
      5540.00  0.000652514
      5545.00  0.000918616
      5550.00   0.00129831
      5555.00   0.00182585
      5560.00   0.00249857
      5565.00   0.00341212
      5570.00   0.00458334
      5575.00   0.00608713
      5580.00   0.00799585
      5585.00    0.0103389
      5590.00    0.0133157
      5595.00    0.0169214
      5600.00    0.0211842
      5605.00    0.0262742
      5610.00    0.0322200
      5615.00    0.0390856
      5620.00    0.0470293
      5625.00    0.0560275
      5630.00    0.0662268
      5635.00    0.0774293
      5640.00    0.0896052
      5645.00     0.102795
      5650.00     0.117287
      5655.00     0.132517
      5660.00     0.149095
      5665.00     0.166292
      5670.00     0.183838
      5675.00     0.202178
      5680.00     0.220900
      5685.00     0.240767
      5690.00     0.261172
      5695.00     0.280194
      5700.00     0.300146
      5705.00     0.319951
      5710.00     0.340023
      5715.00     0.359549
      5720.00     0.379139
      5725.00     0.398414
      5730.00     0.417243
      5735.00     0.435630
      5740.00     0.453342
      5745.00     0.471006
      5750.00     0.488100
      5755.00     0.504237
      5760.00     0.520160
      5765.00     0.535525
      5770.00     0.549938
      5775.00     0.564014
      5780.00     0.577388
      5785.00     0.590374
      5790.00     0.602442
      5795.00     0.614071
      5800.00     0.625204
      5805.00     0.635869
      5810.00     0.645988
      5815.00     0.655461
      5820.00     0.664701
      5825.00     0.673250
      5830.00     0.681237
      5835.00     0.688827
      5840.00     0.696000
      5845.00     0.703069
      5850.00     0.709504
      5855.00     0.715637
      5860.00     0.721503
      5865.00     0.726709
      5870.00     0.731697
      5875.00     0.736460
      5880.00     0.740869
      5885.00     0.744945
      5890.00     0.748976
      5895.00     0.752400
      5900.00     0.756022
      5905.00     0.759111
      5910.00     0.761848
      5915.00     0.764413
      5920.00     0.766717
      5925.00     0.769233
      5930.00     0.771140
      5935.00     0.773299
      5940.00     0.775016
      5945.00     0.776553
      5950.00     0.778116
      5955.00     0.779589
      5960.00     0.780439
      5965.00     0.781557
      5970.00     0.782529
      5975.00     0.783250
      5980.00     0.784193
      5985.00     0.784713
      5990.00     0.784892
      5995.00     0.785414
      6000.00     0.785642
      6005.00     0.785740
      6010.00     0.785726
      6015.00     0.785962
      6020.00     0.785788
      6025.00     0.785753
      6030.00     0.785291
      6035.00     0.785064
      6040.00     0.784862
      6045.00     0.784409
      6050.00     0.783841
      6055.00     0.783326
      6060.00     0.782744
      6065.00     0.781881
      6070.00     0.781288
      6075.00     0.780314
      6080.00     0.779673
      6085.00     0.778602
