#Output from simulation at z=3 by Andrew Pontzen
#     b(kpc)        f(b)
    0.0400000    0.0592711
     0.540000     0.141370
      1.04000     0.146576
      1.54000     0.148979
      2.04000     0.175010
      2.54000     0.161394
      3.04000     0.158590
      3.54000     0.123748
      4.04000     0.109732
      4.54000    0.0973168
      5.04000    0.0901081
      5.54000    0.0712855
      6.04000    0.0560673
      6.54000    0.0612735
      7.04000    0.0372447
      7.54000    0.0360433
      8.04000    0.0280336
      8.54000    0.0268322
      9.04000    0.0196235
      9.54000    0.0192231
      10.0400    0.0184221
      10.5400    0.0160192
      11.0400    0.0148178
      11.5400    0.0140168
      12.0400    0.0136163
      12.5400   0.00800961
      13.0400    0.0112135
      13.5400   0.00760913
      14.0400    0.0104125
      14.5400   0.00800961
      15.0400    0.0108130
      15.5400   0.00480577
      16.0400   0.00640769
      16.5400   0.00480577
      17.0400   0.00720865
      17.5400   0.00600721
      18.0400   0.00600721
      18.5400   0.00480577
      19.0400   0.00560673
      19.5400   0.00200240
      20.0400   0.00320384
      20.5400   0.00440529
      21.0400   0.00240288
      21.5400   0.00280336
      22.0400   0.00120144
      22.5400   0.00240288
      23.0400   0.00160192
      23.5400  0.000800961
      24.0400   0.00160192
      24.5400   0.00120144
      25.0400   0.00160192
      25.5400   0.00160192
      26.0400  0.000800961
      26.5400   0.00160192
      27.0400   0.00120144
      27.5400   0.00160192
      28.0400  0.000800961
      28.5400   0.00120144
      29.0400   0.00120144
      29.5400   0.00160192
      30.0400      0.00000
      30.5400  0.000800961
      31.0400      0.00000
      31.5400      0.00000
      32.0400      0.00000
      32.5400  0.000400481
      33.0400  0.000400481
      33.5400  0.000400481
      34.0400      0.00000
      34.5400  0.000800961
      35.0400      0.00000
      35.5400  0.000400481
      36.0400  0.000400481
      36.5400  0.000400481
      37.0400      0.00000
      37.5400  0.000400481
      38.0400  0.000800961
      38.5400  0.000400481
      39.0400   0.00120144
      39.5400      0.00000
      40.0400  0.000400481
      40.5400      0.00000
      41.0400  0.000400481
      41.5400  0.000400481
      42.0400  0.000400481
      42.5400   0.00120144
      43.0400      0.00000
      43.5400  0.000400481
      44.0400  0.000400481
      44.5400  0.000800961
      45.0400  0.000400481
      45.5400      0.00000
      46.0400      0.00000
      46.5400      0.00000
      47.0400      0.00000
      47.5400      0.00000
      48.0400  0.000800961
      48.5400  0.000400481
      49.0400  0.000800961
      49.5400      0.00000
      50.0400      0.00000
      50.5400  0.000400481
      51.0400      0.00000
      51.5400      0.00000
      52.0400      0.00000
      52.5400      0.00000
      53.0400  0.000400481
      53.5400  0.000400481
      54.0400      0.00000
      54.5400      0.00000
      55.0400      0.00000
      55.5400  0.000800961
      56.0400      0.00000
      56.5400      0.00000
      57.0400      0.00000
      57.5400  0.000400481
      58.0400      0.00000
      58.5400      0.00000
      59.0400      0.00000
      59.5400      0.00000
      60.0400  0.000400481
      60.5400      0.00000
      61.0400      0.00000
      61.5400      0.00000
      62.0400      0.00000
      62.5400      0.00000
      63.0400      0.00000
      63.5400      0.00000
      64.0400      0.00000
      64.5400      0.00000
      65.0400      0.00000
      65.5400      0.00000
      66.0400      0.00000
      66.5400      0.00000
      67.0400  0.000400481
