# B-band counts from subaru deep field 
# Counts in log(deg2/0.5mag), mag in AB 
# Very low Galaxy extinction 
# KASHIKAWA et al. 2004
#
#B(AB)  raw  corrected
18.250 2.076 1.882 
18.750 2.155 1.155 
19.250 2.394 1.792 
19.750 2.368 1.909 
20.250 2.477 2.155 
20.750 2.682 2.394 
21.250 2.848 2.651 
21.750 3.056 2.941 
22.250 3.265 3.195 
22.750 3.535 3.480 
23.250 3.774 3.747 
23.750 4.048 4.034 
24.250 4.285 4.299 
24.750 4.483 4.501 
25.250 4.652 4.677 
25.750 4.779 4.819 
26.250 4.882 4.961 
26.750 4.952 5.119 
27.250 4.989 5.287
27.750 4.973 5.404
